0.000000000000000000e+00,1.000000000000000056e-01,2.741592653589793205e+00,0.000000000000000000e+00
-9.329635649919509888e-03,1.507145315408706665e-01,2.716345310211181641e+00,-2.150934189558029175e-01
-1.814313605427742004e-02,2.038772553205490112e-01,2.684666872024536133e+00,-4.232419729232788086e-01
-2.677150443196296692e-02,2.583902478218078613e-01,2.647806644439697266e+00,-6.219327449798583984e-01
-3.532793000340461731e-02,3.129185438156127930e-01,2.607636451721191406e+00,-8.088544607162475586e-01
-4.372381046414375305e-02,3.661087155342102051e-01,2.566218852996826172e+00,-9.821699857711791992e-01
-5.174966529011726379e-02,4.168015718460083008e-01,2.525421619415283203e+00,-1.140716910362243652e+00
-5.917217209935188293e-02,4.641649127006530762e-01,2.486676931381225586e+00,-1.284063696861267090e+00
-6.580649316310882568e-02,5.077213644981384277e-01,2.450911283493041992e+00,-1.412427663803100586e+00
-7.154746353626251221e-02,5.472996830940246582e-01,2.418599843978881836e+00,-1.526512861251831055e+00
-7.636515796184539795e-02,5.829538702964782715e-01,2.389873743057250977e+00,-1.627335309982299805e+00
-8.028762042522430420e-02,6.148833632469177246e-01,2.364636182785034180e+00,-1.716071248054504395e+00
-8.337886631488800049e-02,6.433680653572082520e-01,2.342656135559082031e+00,-1.793945670127868652e+00
-8.572085201740264893e-02,6.687238812446594238e-01,2.323640108108520508e+00,-1.862159848213195801e+00
-8.739988505840301514e-02,6.912727952003479004e-01,2.307273864746093750e+00,-1.921846508979797363e+00
-8.849923312664031982e-02,7.113255858421325684e-01,2.293251991271972656e+00,-1.974048018455505371e+00
-8.909533917903900146e-02,7.291718125343322754e-01,2.281289577484130859e+00,-2.019707202911376953e+00
-8.925591409206390381e-02,7.450762987136840820e-01,2.271131277084350586e+00,-2.059666395187377930e+00
-8.903945982456207275e-02,7.592768073081970215e-01,2.262550830841064453e+00,-2.094672679901123047e+00
-8.849643170833587646e-02,7.719849348068237305e-01,2.255350589752197266e+00,-2.125385761260986328e+00
-8.766989409923553467e-02,7.833880782127380371e-01,2.249358654022216797e+00,-2.152383565902709961e+00
-8.659528195858001709e-02,7.936509847640991211e-01,2.244427204132080078e+00,-2.176173210144042969e+00
-8.530335128307342529e-02,8.029181361198425293e-01,2.240428686141967773e+00,-2.197199344635009766e+00
-8.381949365139007568e-02,8.113159537315368652e-01,2.237252235412597656e+00,-2.215848922729492188e+00
-8.216474950313568115e-02,8.189547657966613770e-01,2.234801769256591797e+00,-2.232460260391235352e+00
-8.035726845264434814e-02,8.259306550025939941e-01,2.232994556427001953e+00,-2.247327804565429688e+00
-7.841087877750396729e-02,8.323274254798889160e-01,2.231758117675781250e+00,-2.260708808898925781e+00
-7.633830606937408447e-02,8.382179141044616699e-01,2.231029033660888672e+00,-2.272826194763183594e+00
-7.414971292018890381e-02,8.436651825904846191e-01,2.230751752853393555e+00,-2.283874988555908203e+00
-7.185263931751251221e-02,8.487243652343750000e-01,2.230877399444580078e+00,-2.294023990631103516e+00
-6.945417821407318115e-02,8.534423708915710449e-01,2.231360912322998047e+00,-2.303420305252075195e+00
-6.695918738842010498e-02,8.578607439994812012e-01,2.232164621353149414e+00,-2.312189817428588867e+00
-6.437213718891143799e-02,8.620143532752990723e-01,2.233253240585327148e+00,-2.320442676544189453e+00
-6.169580295681953430e-02,8.659339547157287598e-01,2.234595298767089844e+00,-2.328273057937622070e+00
-5.893288925290107727e-02,8.696454167366027832e-01,2.236162662506103516e+00,-2.335762023925781250e+00
-5.608474090695381165e-02,8.731710314750671387e-01,2.237929344177246094e+00,-2.342978715896606445e+00
-5.315255001187324524e-02,8.765298724174499512e-01,2.239872217178344727e+00,-2.349982261657714844e+00
-5.013682320713996887e-02,8.797378540039062500e-01,2.241969585418701172e+00,-2.356822729110717773e+00
-4.703753069043159485e-02,8.828085064888000488e-01,2.244201898574829102e+00,-2.363541603088378906e+00
-4.385464265942573547e-02,8.857527375221252441e-01,2.246550559997558594e+00,-2.370174169540405273e+00
-4.058759286999702454e-02,8.885795474052429199e-01,2.248999118804931641e+00,-2.376748085021972656e+00
-3.723545745015144348e-02,8.912968039512634277e-01,2.251531600952148438e+00,-2.383286714553833008e+00
-3.379769995808601379e-02,8.939104676246643066e-01,2.254133939743041992e+00,-2.389808177947998047e+00
-3.027339652180671692e-02,8.964248895645141602e-01,2.256792306900024414e+00,-2.396326780319213867e+00
-2.666096761822700500e-02,8.988437056541442871e-01,2.259494304656982422e+00,-2.402852535247802734e+00
-2.295939996838569641e-02,9.011695384979248047e-01,2.262227773666381836e+00,-2.409392595291137695e+00
-1.916768029332160950e-02,9.034034609794616699e-01,2.264981508255004883e+00,-2.415951251983642578e+00
-1.528476551175117493e-02,9.055467844009399414e-01,2.267745018005371094e+00,-2.422529935836791992e+00
-1.130955293774604797e-02,9.075993299484252930e-01,2.270508766174316406e+00,-2.429128408432006836e+00
-7.240969687700271606e-03,9.095606803894042969e-01,2.273263216018676758e+00,-2.435744047164916992e+00
-3.078121691942214966e-03,9.114300608634948730e-01,2.275999546051025391e+00,-2.442373275756835938e+00
1.179706305265426636e-03,9.132062196731567383e-01,2.278709411621093750e+00,-2.449010848999023438e+00
5.533199757337570190e-03,9.148871302604675293e-01,2.281384706497192383e+00,-2.455650329589843750e+00
9.982567280530929565e-03,9.164709448814392090e-01,2.284017562866210938e+00,-2.462284326553344727e+00
1.452852413058280945e-02,9.179552197456359863e-01,2.286601066589355469e+00,-2.468904495239257812e+00
1.917089149355888367e-02,9.193379282951354980e-01,2.289128541946411133e+00,-2.475501537322998047e+00
2.390940114855766296e-02,9.206160902976989746e-01,2.291593074798583984e+00,-2.482066154479980469e+00
2.874372527003288269e-02,9.217872023582458496e-01,2.293988466262817383e+00,-2.488588094711303711e+00
3.367341682314872742e-02,9.228481650352478027e-01,2.296308994293212891e+00,-2.495057344436645508e+00
3.869731351733207703e-02,9.237959980964660645e-01,2.298548221588134766e+00,-2.501463413238525391e+00
4.381467029452323914e-02,9.246280193328857422e-01,2.300701141357421875e+00,-2.507794618606567383e+00
4.902402684092521667e-02,9.253411889076232910e-01,2.302761554718017578e+00,-2.514039754867553711e+00
5.432353541254997253e-02,9.259324669837951660e-01,2.304724693298339844e+00,-2.520187616348266602e+00
5.971140787005424500e-02,9.263986945152282715e-01,2.306585788726806641e+00,-2.526227235794067383e+00
6.518523395061492920e-02,9.267367720603942871e-01,2.308339595794677734e+00,-2.532147169113159180e+00
7.074244320392608643e-02,9.269441962242126465e-01,2.309982299804687500e+00,-2.537935256958007812e+00
7.638047635555267334e-02,9.270177483558654785e-01,2.311508417129516602e+00,-2.543580770492553711e+00
8.209644258022308350e-02,9.269549250602722168e-01,2.312914609909057617e+00,-2.549072027206420898e+00
8.788628876209259033e-02,9.267527461051940918e-01,2.314196109771728516e+00,-2.554397821426391602e+00
9.374652802944183350e-02,9.264085888862609863e-01,2.315349340438842773e+00,-2.559546947479248047e+00
9.967343509197235107e-02,9.259198307991027832e-01,2.316370487213134766e+00,-2.564508676528930664e+00
1.056621223688125610e-01,9.252842664718627930e-01,2.317255258560180664e+00,-2.569271564483642578e+00
1.117086559534072876e-01,9.244993329048156738e-01,2.318000793457031250e+00,-2.573824882507324219e+00
1.178081482648849487e-01,9.235629439353942871e-01,2.318602800369262695e+00,-2.578157663345336914e+00
1.239550262689590454e-01,9.224729537963867188e-01,2.319059371948242188e+00,-2.582259416580200195e+00
1.301440447568893433e-01,9.212276339530944824e-01,2.319366216659545898e+00,-2.586119651794433594e+00
1.363695114850997925e-01,9.198250174522399902e-01,2.319520473480224609e+00,-2.589727878570556641e+00
1.426253765821456909e-01,9.182636737823486328e-01,2.319519758224487305e+00,-2.593074798583984375e+00
1.489055603742599487e-01,9.165416359901428223e-01,2.319360971450805664e+00,-2.596148967742919922e+00
1.552033275365829468e-01,9.146580100059509277e-01,2.319042205810546875e+00,-2.598941802978515625e+00
1.615120619535446167e-01,9.126115441322326660e-01,2.318560600280761719e+00,-2.601443052291870117e+00
1.678249388933181763e-01,9.104011654853820801e-01,2.317914485931396484e+00,-2.603643417358398438e+00
1.741348356008529663e-01,9.080265164375305176e-01,2.317101716995239258e+00,-2.605534315109252930e+00
1.804343909025192261e-01,9.054865241050720215e-01,2.316120147705078125e+00,-2.607106685638427734e+00
1.867159456014633179e-01,9.027809500694274902e-01,2.314968347549438477e+00,-2.608351469039916992e+00
1.929723769426345825e-01,8.999096751213073730e-01,2.313644409179687500e+00,-2.609259605407714844e+00
1.991952806711196899e-01,8.968727588653564453e-01,2.312147378921508789e+00,-2.609823703765869141e+00
2.053772062063217163e-01,8.936703801155090332e-01,2.310475826263427734e+00,-2.610035657882690430e+00
2.115097790956497192e-01,8.903031349182128906e-01,2.308629035949707031e+00,-2.609887838363647461e+00
2.175848037004470825e-01,8.867716789245605469e-01,2.306606292724609375e+00,-2.609372854232788086e+00
2.235939353704452515e-01,8.830772638320922852e-01,2.304406404495239258e+00,-2.608483791351318359e+00
2.295291870832443237e-01,8.792207837104797363e-01,2.302029609680175781e+00,-2.607213020324707031e+00
2.353819161653518677e-01,8.752038478851318359e-01,2.299475669860839844e+00,-2.605555057525634766e+00
2.411438971757888794e-01,8.710283637046813965e-01,2.296744346618652344e+00,-2.603503227233886719e+00
2.468068748712539673e-01,8.666961789131164551e-01,2.293836355209350586e+00,-2.601052045822143555e+00
2.523622810840606689e-01,8.622097373008728027e-01,2.290752172470092773e+00,-2.598196268081665039e+00
2.578017413616180420e-01,8.575714826583862305e-01,2.287492036819458008e+00,-2.594930171966552734e+00
2.631174921989440918e-01,8.527846336364746094e-01,2.284057140350341797e+00,-2.591249704360961914e+00
2.683014273643493652e-01,8.478524684906005859e-01,2.280448913574218750e+00,-2.587151050567626953e+00
2.733451128005981445e-01,8.427781462669372559e-01,2.276668548583984375e+00,-2.582630395889282227e+00
2.782410085201263428e-01,8.375662565231323242e-01,2.272717475891113281e+00,-2.577684879302978516e+00
2.829812169075012207e-01,8.322204351425170898e-01,2.268597602844238281e+00,-2.572310924530029297e+00
2.875584363937377930e-01,8.267455101013183594e-01,2.264311313629150391e+00,-2.566507101058959961e+00
2.919651865959167480e-01,8.211464881896972656e-01,2.259860992431640625e+00,-2.560271501541137695e+00
2.961946427822113037e-01,8.154286146163940430e-01,2.255249738693237305e+00,-2.553602457046508789e+00
3.002398312091827393e-01,8.095979094505310059e-01,2.250480175018310547e+00,-2.546498775482177734e+00
3.040941059589385986e-01,8.036599159240722656e-01,2.245555400848388672e+00,-2.538960933685302734e+00
3.077515065670013428e-01,7.976216673851013184e-01,2.240478754043579102e+00,-2.530989646911621094e+00
3.112061321735382080e-01,7.914897799491882324e-01,2.235254526138305664e+00,-2.522585391998291016e+00
3.144522607326507568e-01,7.852711677551269531e-01,2.229886770248413086e+00,-2.513749837875366211e+00
3.174849152565002441e-01,7.789738774299621582e-01,2.224379539489746094e+00,-2.504484891891479492e+00
3.202994167804718018e-01,7.726056575775146484e-01,2.218737602233886719e+00,-2.494793176651000977e+00
3.228909373283386230e-01,7.661750912666320801e-01,2.212965965270996094e+00,-2.484677791595458984e+00
3.252559602260589600e-01,7.596905827522277832e-01,2.207069873809814453e+00,-2.474142551422119141e+00
3.273909389972686768e-01,7.531613111495971680e-01,2.201055288314819336e+00,-2.463191509246826172e+00
3.292927145957946777e-01,7.465969920158386230e-01,2.194927692413330078e+00,-2.451829671859741211e+00
3.309591114521026611e-01,7.400072216987609863e-01,2.188693284988403320e+00,-2.440062522888183594e+00
3.323878049850463867e-01,7.334023118019104004e-01,2.182358741760253906e+00,-2.427896499633789062e+00
3.335776329040527344e-01,7.267925739288330078e-01,2.175930500030517578e+00,-2.415337324142456055e+00
3.345273137092590332e-01,7.201884984970092773e-01,2.169416666030883789e+00,-2.402393102645874023e+00
3.352364003658294678e-01,7.136014699935913086e-01,2.162823915481567383e+00,-2.389070987701416016e+00
3.357049524784088135e-01,7.070422768592834473e-01,2.156160116195678711e+00,-2.375379562377929688e+00
3.359334468841552734e-01,7.005226612091064453e-01,2.149433612823486328e+00,-2.361327409744262695e+00
3.359230160713195801e-01,6.940538287162780762e-01,2.142652988433837891e+00,-2.346923589706420898e+00
3.356757462024688721e-01,6.876476407051086426e-01,2.135826587677001953e+00,-2.332178115844726562e+00
3.351936042308807373e-01,6.813157796859741211e-01,2.128964424133300781e+00,-2.317102432250976562e+00
3.344794213771820068e-01,6.750702261924743652e-01,2.122075080871582031e+00,-2.301706790924072266e+00
3.335365056991577148e-01,6.689227223396301270e-01,2.115168809890747070e+00,-2.286002635955810547e+00
3.323681950569152832e-01,6.628850102424621582e-01,2.108255863189697266e+00,-2.270003080368041992e+00
3.309794366359710693e-01,6.569690108299255371e-01,2.101346492767333984e+00,-2.253720283508300781e+00
3.293746709823608398e-01,6.511862277984619141e-01,2.094451427459716797e+00,-2.237167119979858398e+00
3.275593817234039307e-01,6.455480456352233887e-01,2.087582111358642578e+00,-2.220358848571777344e+00
3.255391716957092285e-01,6.400656104087829590e-01,2.080750226974487305e+00,-2.203309059143066406e+00
3.233204185962677002e-01,6.347498297691345215e-01,2.073967695236206055e+00,-2.186033725738525391e+00
3.209091722965240479e-01,6.296114921569824219e-01,2.067246675491333008e+00,-2.168549060821533203e+00
3.183131515979766846e-01,6.246607303619384766e-01,2.060599803924560547e+00,-2.150871992111206055e+00
3.155393004417419434e-01,6.199075579643249512e-01,2.054039716720581055e+00,-2.133020162582397461e+00
3.125955760478973389e-01,6.153615117073059082e-01,2.047579765319824219e+00,-2.115011930465698242e+00
3.094898760318756104e-01,6.110314130783081055e-01,2.041233539581298828e+00,-2.096866846084594727e+00
3.062306344509124756e-01,6.069257855415344238e-01,2.035015344619750977e+00,-2.078605175018310547e+00
3.028265535831451416e-01,6.030527949333190918e-01,2.028939008712768555e+00,-2.060248851776123047e+00
2.992862164974212646e-01,5.994196534156799316e-01,2.023018836975097656e+00,-2.041820526123046875e+00
2.956185638904571533e-01,5.960332751274108887e-01,2.017269372940063477e+00,-2.023343801498413086e+00
2.918325960636138916e-01,5.928996205329895020e-01,2.011705875396728516e+00,-2.004843950271606445e+00
2.879377603530883789e-01,5.900244712829589844e-01,2.006343126296997070e+00,-1.986346840858459473e+00
2.839427888393402100e-01,5.874128937721252441e-01,2.001196384429931641e+00,-1.967880368232727051e+00
2.798573076725006104e-01,5.850692987442016602e-01,1.996281027793884277e+00,-1.949473977088928223e+00
2.756900787353515625e-01,5.829975605010986328e-01,1.991611838340759277e+00,-1.931158185005187988e+00
2.714505791664123535e-01,5.812007188796997070e-01,1.987204074859619141e+00,-1.912964940071105957e+00
2.671474516391754150e-01,5.796812772750854492e-01,1.983073234558105469e+00,-1.894928097724914551e+00
2.627893686294555664e-01,5.784415006637573242e-01,1.979233503341674805e+00,-1.877082943916320801e+00
2.583850920200347900e-01,5.774826407432556152e-01,1.975699663162231445e+00,-1.859466910362243652e+00
2.539424300193786621e-01,5.768058300018310547e-01,1.972485780715942383e+00,-1.842118382453918457e+00
2.494693845510482788e-01,5.764113068580627441e-01,1.969605445861816406e+00,-1.825077891349792480e+00
2.449738830327987671e-01,5.762991905212402344e-01,1.967071652412414551e+00,-1.808387279510498047e+00
2.404624074697494507e-01,5.764693617820739746e-01,1.964896321296691895e+00,-1.792090177536010742e+00
2.359418720006942749e-01,5.769205689430236816e-01,1.963091135025024414e+00,-1.776231765747070312e+00
2.314184159040451050e-01,5.776519775390625000e-01,1.961665987968444824e+00,-1.760858774185180664e+00
2.268972545862197876e-01,5.786619782447814941e-01,1.960630416870117188e+00,-1.746018767356872559e+00
2.223840206861495972e-01,5.799489021301269531e-01,1.959992289543151855e+00,-1.731760621070861816e+00
2.178831249475479126e-01,5.815108418464660645e-01,1.959758281707763672e+00,-1.718133926391601562e+00
2.133985012769699097e-01,5.833454728126525879e-01,1.959933638572692871e+00,-1.705189108848571777e+00
2.089338451623916626e-01,5.854505896568298340e-01,1.960521936416625977e+00,-1.692976951599121094e+00
2.044916599988937378e-01,5.878236889839172363e-01,1.961525082588195801e+00,-1.681548714637756348e+00
2.000747174024581909e-01,5.904619097709655762e-01,1.962943434715270996e+00,-1.670954346656799316e+00
1.956847757101058960e-01,5.933623909950256348e-01,1.964775204658508301e+00,-1.661244273185729980e+00
1.913233548402786255e-01,5.965220332145690918e-01,1.967017173767089844e+00,-1.652467250823974609e+00
1.869910508394241333e-01,5.999376773834228516e-01,1.969663500785827637e+00,-1.644669890403747559e+00
1.826891750097274780e-01,6.036058664321899414e-01,1.972707271575927734e+00,-1.637897491455078125e+00
1.784175783395767212e-01,6.075225472450256348e-01,1.976139068603515625e+00,-1.632192254066467285e+00
1.741764992475509644e-01,6.116839051246643066e-01,1.979947447776794434e+00,-1.627593636512756348e+00
1.699653714895248413e-01,6.160854101181030273e-01,1.984119653701782227e+00,-1.624137282371520996e+00
1.657845228910446167e-01,6.207223534584045410e-01,1.988641142845153809e+00,-1.621853947639465332e+00
1.616332083940505981e-01,6.255896091461181641e-01,1.993495225906372070e+00,-1.620770454406738281e+00
1.575116068124771118e-01,6.306812763214111328e-01,1.998664140701293945e+00,-1.620907187461853027e+00
1.534196287393569946e-01,6.359906792640686035e-01,2.004128694534301758e+00,-1.622280359268188477e+00
1.493574231863021851e-01,6.415110230445861816e-01,2.009868383407592773e+00,-1.624899029731750488e+00
1.453256458044052124e-01,6.472342014312744141e-01,2.015862226486206055e+00,-1.628764748573303223e+00
1.413253098726272583e-01,6.531517505645751953e-01,2.022087812423706055e+00,-1.633874177932739258e+00
1.373574286699295044e-01,6.592537760734558105e-01,2.028522968292236328e+00,-1.640215873718261719e+00
1.334245353937149048e-01,6.655302643775939941e-01,2.035144567489624023e+00,-1.647771835327148438e+00
1.295288950204849243e-01,6.719700098037719727e-01,2.041930198669433594e+00,-1.656516551971435547e+00
1.256740540266036987e-01,6.785607933998107910e-01,2.048857212066650391e+00,-1.666418313980102539e+00
1.218639761209487915e-01,6.852896809577941895e-01,2.055903196334838867e+00,-1.677438497543334961e+00
1.181034296751022339e-01,6.921432018280029297e-01,2.063046455383300781e+00,-1.689532876014709473e+00
1.143981069326400757e-01,6.991071105003356934e-01,2.070266246795654297e+00,-1.702651023864746094e+00
1.107540875673294067e-01,7.061662673950195312e-01,2.077542543411254883e+00,-1.716737508773803711e+00
1.071779876947402954e-01,7.133056521415710449e-01,2.084856748580932617e+00,-1.731732964515686035e+00
1.036776453256607056e-01,7.205091118812561035e-01,2.092191219329833984e+00,-1.747573971748352051e+00
1.002608388662338257e-01,7.277606725692749023e-01,2.099529981613159180e+00,-1.764193773269653320e+00
9.693618118762969971e-02,7.350444793701171875e-01,2.106857776641845703e+00,-1.781524419784545898e+00
9.371237456798553467e-02,7.423443794250488281e-01,2.114161014556884766e+00,-1.799495935440063477e+00
9.059889614582061768e-02,7.496443390846252441e-01,2.121427297592163086e+00,-1.818037867546081543e+00
8.760528266429901123e-02,7.569291591644287109e-01,2.128645658493041992e+00,-1.837080359458923340e+00
8.474095165729522705e-02,7.641837000846862793e-01,2.135806322097778320e+00,-1.856553554534912109e+00
8.201588690280914307e-02,7.713930010795593262e-01,2.142900228500366211e+00,-1.876389980316162109e+00
7.943917810916900635e-02,7.785436511039733887e-01,2.149920225143432617e+00,-1.896524310111999512e+00
7.702057063579559326e-02,7.856224179267883301e-01,2.156859397888183594e+00,-1.916892766952514648e+00
7.476927340030670166e-02,7.926166653633117676e-01,2.163712024688720703e+00,-1.937435626983642578e+00
7.269407808780670166e-02,7.995150089263916016e-01,2.170473337173461914e+00,-1.958094716072082520e+00
